単語,訳語,類語,タイプ,時刻
exacerbate,['悪化する'],[''],知らない単語,2022-08-05 03:46:59
Before preceeding,['先に進む前に'],[''],知らない単語,2022-08-05 03:10:46
piggyback,['おんぶ'],[''],知らない単語,2022-08-05 03:07:12
auxiliary,['補助'],[''],知らない単語,2022-08-05 03:06:26
stochastic,['確率的な'],[''],知らない単語,2022-08-05 03:04:39
negligible,['無視できる'],[''],知らない単語,2022-08-05 01:30:00
may have V,,[''],覚えたい表現,2022-08-05 01:10:56
the team I support,,[''],覚えたい表現,2022-08-05 01:10:41
dizzy,['クラクラ'],[''],知らない単語,2022-08-05 01:10:05
There be no a noun,,[''],覚えたい表現,2022-08-05 01:09:46
tractable,['扱いやすい'],[''],知らない単語,2022-08-04 07:09:14
lend oneself to,['に役立つ'],[''],知らない単語,2022-08-04 06:18:44
preclude,['排除する'],[''],知らない単語,2022-08-03 10:43:56
be versed in ,['精通している。'],[''],知らない単語,2022-08-03 10:14:43
draw on ,['利用する'],[''],知らない単語,2022-08-03 10:01:11
bode well for,['良い兆候である'],[''],知らない単語,2022-07-28 12:20:54
lbs,['ポンド'],[''],知らない単語,2022-07-28 12:01:48
Does figure mean the same as shape?,,[''],覚えたい表現,2022-07-28 12:01:23
unspecified number,['不特定多数'],[''],知らない単語,2022-07-28 04:44:40
be annoying,"['面倒臭い', '鬱陶しい']",[''],知らない単語,2022-07-28 04:44:20
feel uneasy with,['気になる'],[''],知らない単語,2022-07-28 04:43:59
out of a sense of duty,['義務感から'],[''],知らない単語,2022-07-28 04:43:40
every few seconds,['こまめに'],[''],知らない単語,2022-07-28 04:43:18
sympathize with,,[''],覚えたい表現,2022-07-28 04:42:56
acquaintance,,[''],覚えたい表現,2022-07-28 04:23:04
provoke him in to a rage,['彼を怒らせる。'],[''],知らない単語,2022-07-28 04:15:01
spiteful,"['意地悪な', '悪意のある']",[''],知らない単語,2022-07-28 04:14:23
despise,"['軽蔑する', '嫌う']",[''],知らない単語,2022-07-28 03:51:31
stranger,['知らない人'],[''],知らない単語,2022-07-28 03:01:55
There are 2 main ways,['大きく分けて2つの方法がある。'],[''],知らない単語,2022-07-28 02:59:54
troublesome,['面倒臭い'],[''],知らない単語,2022-07-27 12:50:56
take it easy at,['のんびり過ごす'],[''],知らない単語,2022-07-27 12:50:41
by chance,,[''],覚えたい表現,2022-07-27 12:49:44
come across,,[''],覚えたい表現,2022-07-27 12:49:34
Once in two weeks.,,[''],覚えたい表現,2022-07-27 11:49:56
"These days, I am getting to like soccer.",,[''],覚えたい表現,2022-07-27 11:49:18
What's on your mind?,,[''],覚えたい表現,2022-07-27 11:45:16
crack jokes,['ジョークを言う'],[''],知らない単語,2022-07-27 11:44:36
hang out,['遊ぶ'],[''],知らない単語,2022-07-27 11:44:15
get cold feet,['逃げ腰になる'],[''],知らない単語,2022-07-27 11:43:48
them's the breaks,['仕方ない'],"['it is what it is', "" that's the way cookie crumbles""]",知らない単語,2022-07-27 11:41:36
What are you up to?,['何をしているの？'],['What are you doing?'],知らない単語,2022-07-27 11:39:51
until just a few minutes ago,,[''],覚えたい表現,2022-07-27 11:03:19
conspiring ,"['陰謀を企てる', '共謀する']",[''],知らない単語,2022-07-27 07:32:23
culprit,"['(問題などの)原因', '元凶']",[''],知らない単語,2022-07-27 05:25:45
relapse,['再発する'],[''],知らない単語,2022-07-27 12:47:20
relax one's guard,['油断する'],[''],知らない単語,2022-07-27 12:46:42
muscular body,,[''],覚えたい表現,2022-07-27 12:42:56
give in to temptation from -ing,['〜からの誘惑に負ける'],[''],知らない単語,2022-07-27 12:32:58
fight temptation from -ing,['〜からの誘惑と戦う'],[''],知らない単語,2022-07-27 12:28:32
just right,['丁度いい'],[''],知らない単語,2022-07-27 12:24:56
sample,"['サンプル', '見本']",[''],知らない単語,2022-07-27 10:11:17
This is sample sentence.,,[''],覚えたい表現,2022-07-27 10:11:17
eavesdrop,"['立ち聞きする', '盗み聞きする']",[''],知らない単語,2022-07-27 04:03:13
This is sample sentence.,,[''],覚えたい表現,2022-07-27 10:11:17
